date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:05:47	25618/25618	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Feb%202018%2018:05:46%20GMT	http://www.thesenortequila.com/careers-at-senor-tequila/	C:/My%20Web%20Sites/tequila/www.thesenortequila.com/careers-at-senor-tequila/index.html	(from http://www.thesenortequila.com/)
13:05:47	41528/41528	---M--	200	added ('OK')	image/png	etag:%225e814fb-a238-52031b6dd5c40%22	http://www.thesenortequila.com/wp-content/uploads/2015/09/ST-SD-Maestro-Dobel.png	C:/My%20Web%20Sites/tequila/www.thesenortequila.com/wp-content/uploads/2015/09/ST-SD-Maestro-Dobel.png	(from http://www.thesenortequila.com/)
13:05:48	39293/39293	---M--	200	added ('OK')	image/png	etag:%225e814f9-997d-52031cc804d00%22	http://www.thesenortequila.com/wp-content/uploads/2015/09/ST-SD-Jose-Cuervo.png	C:/My%20Web%20Sites/tequila/www.thesenortequila.com/wp-content/uploads/2015/09/ST-SD-Jose-Cuervo.png	(from http://www.thesenortequila.com/)
13:05:49	258583/258583	---M--	200	added ('OK')	image/jpeg	etag:%225e81a11-3f217-520a789b18c67%22	http://www.thesenortequila.com/wp-content/uploads/2015/09/slideshow-steak.jpg	C:/My%20Web%20Sites/tequila/www.thesenortequila.com/wp-content/uploads/2015/09/slideshow-steak.jpg	(from http://www.thesenortequila.com/)
13:05:49	12765/12765	---M--	200	added ('OK')	image/png	etag:%225e8157c-31dd-5203010af5b80%22	http://www.thesenortequila.com/wp-content/uploads/2015/09/block-lt-gold.png	C:/My%20Web%20Sites/tequila/www.thesenortequila.com/wp-content/uploads/2015/09/block-lt-gold.png	(from http://www.thesenortequila.com/)
13:05:51	13380/13380	---M--	200	added ('OK')	image/png	etag:%225e81586-3444-5203010be9dc0%22	http://www.thesenortequila.com/wp-content/uploads/2015/09/block-lt-orange.png	C:/My%20Web%20Sites/tequila/www.thesenortequila.com/wp-content/uploads/2015/09/block-lt-orange.png	(from http://www.thesenortequila.com/)
13:05:52	6313/6313	---M--	200	added ('OK')	image/png	etag:%225e815d6-18a9-51fea1e8e3dc0%22	http://www.thesenortequila.com/wp-content/uploads/2015/09/block-rt-gold.png	C:/My%20Web%20Sites/tequila/www.thesenortequila.com/wp-content/uploads/2015/09/block-rt-gold.png	(from http://www.thesenortequila.com/)
13:06:00	76744/76744	---M--	200	added ('OK')	image/jpeg	etag:%225e815cc-12bc8-5207efe0100c0%22	http://www.thesenortequila.com/wp-content/uploads/2015/09/block-photo-veggie-fajita.jpg	C:/My%20Web%20Sites/tequila/www.thesenortequila.com/wp-content/uploads/2015/09/block-photo-veggie-fajita.jpg	(from http://www.thesenortequila.com/)
13:06:03	95916/95916	---M--	200	added ('OK')	image/jpeg	etag:%225e815ae-176ac-5206982d1dd80%22	http://www.thesenortequila.com/wp-content/uploads/2015/09/block-photo-mojarra.jpg	C:/My%20Web%20Sites/tequila/www.thesenortequila.com/wp-content/uploads/2015/09/block-photo-mojarra.jpg	(from http://www.thesenortequila.com/)
13:06:03	88666/88666	---M--	200	added ('OK')	image/jpeg	etag:%225e8159f-15a5a-5207f141e0380%22	http://www.thesenortequila.com/wp-content/uploads/2015/09/block-photo-churros.jpg	C:/My%20Web%20Sites/tequila/www.thesenortequila.com/wp-content/uploads/2015/09/block-photo-churros.jpg	(from http://www.thesenortequila.com/)
13:06:05	82777/82777	---M--	200	added ('OK')	image/jpeg	etag:%225e815b3-14359-52082f3e10140%22	http://www.thesenortequila.com/wp-content/uploads/2015/09/block-photo-mojitos.jpg	C:/My%20Web%20Sites/tequila/www.thesenortequila.com/wp-content/uploads/2015/09/block-photo-mojitos.jpg	(from http://www.thesenortequila.com/)
13:06:14	65826/65826	---M--	200	added ('OK')	image/jpeg	etag:%225e815d1-10122-5207f48ed4d00%22	http://www.thesenortequila.com/wp-content/uploads/2015/09/block-photo-vip-margaritas.jpg	C:/My%20Web%20Sites/tequila/www.thesenortequila.com/wp-content/uploads/2015/09/block-photo-vip-margaritas.jpg	(from http://www.thesenortequila.com/)
